Date,open,close,low,high,volume,macd_12_26_9,macdh_12_26_9,macds_12_26_9
2021-11-25 00:00:00+00:00,57165.41796875,57274.6796875,57146.68359375,59367.96875,34284016248,,,
2021-11-26 00:00:00+00:00,58960.28515625,53569.765625,53569.765625,59183.48046875,41810748221,,,
2021-11-27 00:00:00+00:00,53736.4296875,54815.078125,53668.35546875,55329.2578125,30560857714,,,
2021-11-28 00:00:00+00:00,54813.0234375,57248.45703125,53576.734375,57393.84375,28116886357,,,
2021-11-29 00:00:00+00:00,57291.90625,57806.56640625,56792.52734375,58872.87890625,32370840356,,,
2021-11-30 00:00:00+00:00,57830.11328125,57005.42578125,56057.28125,59113.40234375,36708594618,,,
2021-12-01 00:00:00+00:00,56907.96484375,57229.828125,56553.08203125,59041.68359375,36858195307,,,
2021-12-02 00:00:00+00:00,57217.37109375,56477.81640625,55895.1328125,57349.234375,32379968686,,,
2021-12-03 00:00:00+00:00,56509.1640625,53598.24609375,52496.5859375,57482.16796875,39789134215,,,
2021-12-04 00:00:00+00:00,53727.87890625,49200.703125,42874.6171875,53904.6796875,61385677469,,,
2021-12-05 00:00:00+00:00,49201.51953125,49368.84765625,47857.49609375,49768.1484375,37198201161,,,
2021-12-06 00:00:00+00:00,49413.48046875,50582.625,47281.03515625,50929.51953125,37707308001,,,
2021-12-07 00:00:00+00:00,50581.828125,50700.0859375,50175.80859375,51934.78125,33676814852,,,
2021-12-08 00:00:00+00:00,50667.6484375,50504.796875,48765.98828125,51171.375,28479699446,,,
2021-12-09 00:00:00+00:00,50450.08203125,47672.12109375,47358.3515625,50797.1640625,29603577251,,,
2021-12-10 00:00:00+00:00,47642.14453125,47243.3046875,47023.69921875,50015.25390625,30966005122,,,
2021-12-11 00:00:00+00:00,47264.6328125,49362.5078125,46942.34765625,49458.2109375,25775869261,,,
2021-12-12 00:00:00+00:00,49354.85546875,50098.3359375,48725.8515625,50724.8671875,21939223599,,,
2021-12-13 00:00:00+00:00,50114.7421875,46737.48046875,45894.84765625,50205.0,32166727776,,,
2021-12-14 00:00:00+00:00,46709.82421875,46612.6328125,46424.49609375,48431.3984375,34638619079,,,
2021-12-15 00:00:00+00:00,48379.75390625,48896.72265625,46671.96484375,49473.95703125,36541828520,,,
2021-12-16 00:00:00+00:00,48900.46484375,47665.42578125,47529.87890625,49425.57421875,27268150947,,,
2021-12-17 00:00:00+00:00,47653.73046875,46202.14453125,45618.21484375,48004.89453125,32902725329,,,
